"INSEE","NOMCLAIR","CP","NOMSIMPLE","REGION","DEPARTEMENT","POP","POParr"
"01348","Saint-Didier-sur-Chalaronne","01140","ST DIDIER SUR CHALARONNE","84","01",2783,2783
"01349","Saint-Éloi","01800","ST ELOI","84","01",444,444
"01350","Saint-Étienne-du-Bois","01370","ST ETIENNE DU BOIS","84","01",2522,2522
"01351","Saint-Étienne-sur-Chalaronne","01140","ST ETIENNE SUR CHALARONNE","84","01",1501,1501
"01352","Saint-Étienne-sur-Reyssouze","01190","ST ETIENNE SUR REYSSOUZE","84","01",555.000000000003,555
"01353","Sainte-Euphémie","01600","STE EUPHEMIE","84","01",1630,1630
"01354","Saint-Genis-Pouilly","01630","ST GENIS POUILLY","84","01",9635,9635
"01355","Saint-Genis-sur-Menthon","01380","ST GENIS SUR MENTHON","84","01",465.999999999999,465
"01356","Saint-Georges-sur-Renon","01400","ST GEORGES SUR RENON","84","01",214,214
"01357","Saint-Germain-de-Joux","01130","ST GERMAIN DE JOUX","84","01",473,473
"01358","Saint-Germain-les-Paroisses","01300","ST GERMAIN LES PAROISSES","84","01",407.999999999999,407
"01359","Saint-Germain-sur-Renon","01240","ST GERMAIN SUR RENON","84","01",230,230
"01360","Saint-Jean-de-Gonville","01630","ST JEAN DE GONVILLE","84","01",1547,1547
"01361","Saint-Jean-de-Niost","01800","ST JEAN DE NIOST","84","01",1427,1427
"01362","Saint-Jean-de-Thurigneux","01390","ST JEAN DE THURIGNEUX","84","01",789,789
"01363","Saint-Jean-le-Vieux","01640","ST JEAN LE VIEUX","84","01",1645,1645
"01364","Saint-Jean-sur-Reyssouze","01560","ST JEAN SUR REYSSOUZE","84","01",733,733
"01365","Saint-Jean-sur-Veyle","01290","ST JEAN SUR VEYLE","84","01",1076,1076
"01366","Sainte-Julie","01150","STE JULIE","84","01",956.999999999997,956
"01367","Saint-Julien-sur-Reyssouze","01560","ST JULIEN SUR REYSSOUZE","84","01",746.999999999997,746
"01368","Saint-Julien-sur-Veyle","01540","ST JULIEN SUR VEYLE","84","01",752.000000000002,752
"01369","Saint-Just","01250","ST JUST","84","01",893.999999999996,893
"01370","Saint-Laurent-sur-Saône","01750","ST LAURENT SUR SAONE","84","01",1781,1781
"01371","Saint-Marcel","01390","ST MARCEL","84","01",1324,1324
"01372","Saint-Martin-de-Bavel","01510","ST MARTIN DE BAVEL","84","01",427,427
"01373","Saint-Martin-du-Frêne","01430","ST MARTIN DU FRENE","84","01",1101,1101
"01374","Saint-Martin-du-Mont","01160","ST MARTIN DU MONT","84","01",1717,1717
